time,temp,humidity,wind,precip
1952-03,9.187096774193549,68.28360215053763,18.76451612903226,135.9
1952-04,16.823333333333334,70.01111111111112,18.476666666666667,159.79999999999998
1952-05,20.61935483870968,66.66935483870968,18.919354838709676,161.9
1952-06,27.616666666666667,69.44861111111112,16.21,105.80000000000001
1952-07,30.46451612903226,69.65322580645162,13.696774193548388,75.1
1952-08,27.506451612903227,77.03897849462366,14.025806451612903,181.7
1952-09,24.73,70.55694444444445,13.74,76.5
1952-10,17.14516129032258,62.86827956989247,17.596774193548388,18.3
1952-11,12.503333333333334,70.05555555555556,17.10666666666667,116.0
1952-12,6.509677419354839,72.24193548387096,18.190322580645162,113.1
1953-01,6.861290322580645,76.58602150537634,18.68064516129032,97.6
1953-02,8.035714285714286,60.25595238095239,20.678571428571427,69.9
